Reviews,Verdict
"I bought this laptop 3 weeks back and it has been working brilliantly. Boot is super fast, display is awesome and the performance is unbeatable! I literally waited for this model for weeks and I'm happy I waited. Will update on the performance a month later.The white colour variant is out of stock so you shouldn't wait and get the black one as at 39k this is the best laptop since all other laptops under this performance segment is around 45-50k. My usage includes wfh and it has been servin...READ MORE",1
Best choice ...Battery performance comes up to 6hrDisplay is fantasticNo heating issueProcessor is good because of SSDFast fingerprint sensorCamera 4.0/5Looks great and best value for money laptop everREAD MORE,1
It is goodREAD MORE,1
GoodREAD MORE,1
"Today i got my asus laptop, flipkart delivered in 05 days, in design and build quality is perfect, battery is ok upto 5-6 hours, performance also gud, little problem i faced that in battery icon was showing incorrect otherwise ohk earlier its price was 40k but due to its selling rate  its price increased, i purchased in 43k. For students and normal use  it is ohk. Most attracting feature i liked in this laptop was fingerprint sensor it makes laptop performance very faster.READ MORE",1
Good Quality And Best PerformanceREAD MORE,1
Nice product thank you Flipcart 🥳❤️READ MORE,1
Very comfortable and best performance for this price range.Go for it without any doubts🤟READ MORE,1
"The only problem with this laptop is the battery life, but considering the budget and other features it offers, we cannot complain much. We will get around 3-4 hours battery life. If battery life is your priority, go for hp 14s ryzen 3 5300, it will get around 7-8 hours of battery lifeREAD MORE",1
This is a very good value for money product!READ MORE,1
This is awesome. I love itREAD MORE,1
The performance is really good. It is suitable for students. If you want more storage then don't go for it. Battery seems to be quite good. Overall i am happy with this productREAD MORE,1
Laptop Performance is good . Display quality is awesome . But battery backup is not good battery backup is around 3-4 hours only . Which is not good as a student.READ MORE,1
"Great laptop for the price.Performance is great. Build quality is superb. Looks stylish, very light weight and easy to carry arround. Keybord and touchpad all working fine. Performance - 9/10Build quality - 9/10Design & Looks - 10/10Keyboard - 8/10touchpad - 8/10Display - 8/10Sound - 8/10Wifi, bluetooth - 10/10battery backup- 7/10Charging time - 9/10ports - 8/10 Value for the money - 10/10Few negatives - 1. Power button beside delete button 2. no indication of battery chargin...READ MORE",1
NiceREAD MORE,1
AwesomeREAD MORE,1
Very nice productREAD MORE,1
"Very Good and better in that price Range .I ordered on 3 May 2021 and got delievered on 5 May 2021 ,only in 2 days. I got i3 11th gen 8GB RAM 512 GB SSD at only on 38990. Best laptop i ever got in this price range.Power plug and Adapter wire is also very soft and Adapter wire is long as sufficient .Packaging is  also very good, it is available like a suitcase for the laptop.READ MORE",1
"Best laptop for regular use and also best for student It has ms office inbuilt and also windows 10 and latest generation high speed i 3 11 generation prosessor , battery life is also decent it has Bluetooth 5.0 and wifi 6 so , wifi and Bluetooth speed is very nice Display quality is okay okay but at this 38k price its okay .it has very nice hd camera. speaker sound is very nice but speaker is at down side of the laptop so sound is very low for movies Overall laptop is  good for student and ...READ MORE",1
"I love this brand. ASUS never disappoints. This is my second laptop from ASUS and as always it has super good performance.Pros :- Full HD display...crisp and clear.- Except back panel, rest all parts metal- Lightweight- Premium design- Boots to windows in just 5-7 seconds- SSD, 11th gen processor and 3200MHz RAM...deadly combo.-No lag experienced even with multiple heavy applications running together for more than 5 hours ( Android Studio, Adobe illustrator, NetBeans, Adobe Lightroo...READ MORE",1
"In just 20 days laptop performance is degraded so badly. You can't even move cursor when laptop is on charging mode. It hangs. I don't know what makes it so costly. To be honest, this laptop is not even worth 30K.READ MORE",0
Good productREAD MORE,1
"Excellent performance, boots in less than 5 seconds.looks suberb better than my 7th gen i5 lenovo ideapad and fingerprint sensor is just awesome. No lags or anything. Display is superb. Overall more value for money because of performance.READ MORE",1
Very good product 👌👌👌 value for money 👌 👌👌 excellentREAD MORE,1
NsBattery backup isnot goodREAD MORE,1
Using this one for the last 3weeks...execllent performance with the i3 11th gen processorworking on ssd feels smoothydisplay is fantasticcamera quality decentspeakers are on averagefingerprint works fast and perfectlybattery is good..not great actuallydesign and looks are greatoverall..Worth buyingREAD MORE,1
Best laptop in this price range and it is beast for studentsREAD MORE,1
Very good performance but little smaller then expectedREAD MORE,1
it's look is superbREAD MORE,1
Overall nice laptop but a little bit less battery and it also heated up otherwise it is a decent laptopREAD MORE,1
Good LaptopREAD MORE,1
Very nice laptopBest for college studentsREAD MORE,1
Used for one month...It's a delicate laptop for students and office workers ...slim..good looking...and really compact MUST BE IN GENTLE USE ....Best for coding and student works...NOT FOR GAMING Loaded with backlit keyboard fingure print sensor compact 65 watt charger and 42 w battery....with fast charge supportREAD MORE,1
Product is best.but battery backup is lowREAD MORE,1
"Before ASUS VivoBook, I using Dell laptop (i7 8 generation with 8 GB RAM).Honestly said--performance of  ASUS Vibobook is much higher than my earlier laptop.Very light (1.4 kg), excellent look, mindblowing performance.READ MORE",1
Best laptop in this budget .Performance is good but battery back up is not satisfaction only 3 hour back up when lenovo laptop provide 7-8 hour so if tou have no need to Extra time back up you should go for it.READ MORE,1
Over all review not bad It's worth of money 👍READ MORE,1
This is awesome. I love itREAD MORE,1
First look awesome this product very premium and your hand and I love to use it disappointed with the batteryREAD MORE,1
Best product Value of moneyREAD MORE,1
I Loved itREAD MORE,1
Overall goodREAD MORE,1
"I was using a laptop from HP which was old and slow and I was sick of it ... I wanted something that would have MS office , would be light and not too big , was fast and responsive and I wasn’t spending a bomb on it . I wanted to be able to do some basic work on it , use it for classes and streaming and that’s it .This ticked off all my requirements and it’s a fab laptop ...It boots up real quick , it’s silent and it has great battery life ... I wasn’t looking for something fancy nor for ga...READ MORE",1
Best laptop under 45kScreen-5Keypad-5Sound-4. 5Body material -5Battery backup-4Look-5Overall a good choiceREAD MORE,1
Really Good laptop in a budget for a normal daily lifeWhite colour is so beautifulSpeaker sound is goodREAD MORE,1
"Hey there I am writing this review after using for 2 weeks1. The laptop is quick and very responsive.2.  started in 12 sec and its fingerprint is very quick3. Display is good for working professional and for editing, watching movies etc4. Battery backup is ok ok around 4 h.5. Value for money. (I got this @35640)5. I am not a Gamer and I did play any games so didn't know about gaming 6. You can do video editor easily.ConsGetting hot very quickly while doing normal work to..The fan is...READ MORE",1
Best laptop.READ MORE,1
Good one for valueREAD MORE,1
Very goodREAD MORE,1
"Initially when i started booting it i felt like this laptop is wort 70k ,butReally good value for  money Display opPerformance opREAD MORE",1
Pathetic battery backupREAD MORE,0
"Camera is not HD,it's working like VGA and no protection for camera. They just fixed cam in panel without glass.battery backup maximum 3 hours on full charge. Coming to laptop size and dimensions.. thin and stylish.READ MORE",1
Laptop is very good. Performance is upto mark. Only NO ethernet port which is bad.READ MORE,1
"*Updated after 7 days of useReceived this yesterday. Got it for 37.5kNice performance in mid range. Seems very delicate. You have to use with care. If you are ruff and tuff user, should avoid. Very slim and light weight.Battery is good. 4 to 5 hoursCam is average.Sound is good. Not very loud but clear.Keyboard look is nice but build quality is delicate. Use keyboard guard.Finger print scanner excellent.Speed excellent for day to day usage. Played morden combat 5 and worked good.Val...READ MORE",1
Excellent laptop with backlit keyboard and fingerprint super for studentsREAD MORE,1
"Everything is great except for battery back up . Pros - - Fast processor .- 512 gb SSD (422 gb available for user ) - Boot time is around 8 sec. - Backlit keyboard , soft . - Anti-glare screen (great viewing angles)  , FHD .- Pre installed Ms-office , Lifetime . - 8GB RAM , 6M CACHE .- Fingerprint sensor .- Type c connectivity provided .- Elegant look , Light weight . - Fast charging , 65w charger .- 720p Webcam . - Good sound quality Cons - - Bad battery back-up , 3 1/2 hrs...READ MORE",1
Over all review not bad It's worth of money 👍READ MORE,1
Worth for moneyREAD MORE,1
I am very happy with this product. You won't regret after buying it. Value for money.READ MORE,1
Asus vivobook ultra 14 is better than expected product. Audio quality is super thanks to harman/ kardon. Camera is really HD. Fingerprint sensor is so fast. Backlight is awesome. Super fast OS.Overall a 5* product undoubtedly. Also got windows 11 update within a week.READ MORE,1
AwesomeREAD MORE,1
Best laptop in this range.Best performanceStart time 3secd.READ MORE,1
GoodREAD MORE,1
"Good laptop.. Better deal if you get it below 40k Performance is better.. Works well with programming and basic users, not tried for any gamingDisplay is goodSound is average not loud but good quality Camera is good Overall better package in this price rangeREAD MORE",1
Good laptop for studentsREAD MORE,1
Good productREAD MORE,1
Really love this productREAD MORE,1
SuperbREAD MORE,1
Best laptop 💻 at these prize segment.READ MORE,1
All is wellREAD MORE,1
"Amazing piece in this price.If it had metal body,it would be excellent perfect.overall nice one🤞READ MORE",1
Awesome 👌🆒️READ MORE,1
Amazing laptopREAD MORE,1
The laptop is pretty smooth and handy as well. Has some fresh features. Does a good job for students.READ MORE,1
At this range it is the best laptop because it give all the specifications.If you are student and u want to coding programming then it is best and you can play normal games also but not heavy games. It is a fast latop it takes only approx 9 sec to open beacuse it have 512ssd.the combination of 8/512 is perfect for this range. Sound quality is little bit slow.Not for gaming. Battery is normal. If you are simple user then it is perfect for battery.The best part is -Performance is great ...READ MORE,1
Very good laptop aaj he mne buy kia h display quality is also very good sould quality is okh fingerprint sensor is very goodits very great laptop in budgeti think vivobook just work on lil bit speakerother all is good speaker is good not badREAD MORE,1
Awesome laptop must buy blue color is so beautifulREAD MORE,1
"excellent product, must buyREAD MORE",1
Best laptop 💻 at these prize segment.READ MORE,1
Nice productREAD MORE,1
Best laptop in this budget .Performance is good but battery back up is not satisfaction only 3 hour back up when lenovo laptop provide 7-8 hour so if tou have no need to Extra time back up you should go for it.READ MORE,1
This is the best laptop in this price segment and this is the best in class.READ MORE,1
Very nice😍READ MORE,1
Best laptop in 40k to 45k budget.READ MORE,1
Very best laptop But you have to struggle very for the 1st time setup 😁Ms office is for lifetimesProcessor is good There are 3 battery mode Which gives you min mid and max power output All is good Writting it after 10 days of useREAD MORE,1
Dear sirThis product has not good as per some major issues like bettery Hiting issues and speakers not working properlyREAD MORE,0
Super exlent tqqqqqREAD MORE,1
"Best laptop you can buy at this price point. I brought it for 42990, after searching many other brands. I was sceptical about the Cobalt blue color, but out of the box the color is amazing.Performance is superb.Display quality is among the best.Trackpad is perfect in size and response.Advantage of USB-C port.Very light weight.Thanks to SSD, silent noise less operation.Battery life yet to be tested.Heating issues are as with any other machine of this type, not bothering too much.Over...READ MORE",1
"Overall fantastic laptop for ofice use ,it gets heated if you work for a long time.READ MORE",1
"Brought this product on July 31 2021 and it changed my life, sorry comming to produce review1.inbuilt SSD is Excellent.2.Battery is Extraordinary we work continues 5-6 hrs.3.display and Wight less good.4.performance is killerOver all I felt Love with this product that's why giving 5 Star.🤩READ MORE",1
Since using 3 moths. Value for money. Sound and video quality is great and suitable for multitasking. Slightly heavy for graphical work when using Adobe software. Recommend for beginner users.READ MORE,1
Everything is great except for battery back up .Screen quality is awesome Design🔥(thin and light)Fast processor.Thank you flipkart for wonderful product.READ MORE,1
It's really nice product if you see midrange lap in the below 40k then it will be more than worth must buyPros1) Excellent performance 8gb 512ssd I32) very vibrant its really nice 3) backlight key board awesome keys also smooth4) battery 3to 5hrs depends upon usage5)65 watt charger awesomeCons1)sound pretty good but not too loudOveral my experience got it 38490 worth and it seems like MacBook blindly u can go if you see midrange laptopREAD MORE,1
Fabulous reviewed this after three months of usage Nice laptop at this price Pros1.display2.8 gb ram and 512gb ssd 3.build quality ConsBattery backup is 4 hours onlyREAD MORE,1
Best in this price Range..  juss Go for it!!!Backlight Keyboard Awesome Display i3 11 Gen.All over Nice LaptopREAD MORE,1
Yes value for money ..... I'm happy with this productREAD MORE,1
Superb quality 👍READ MORE,1
Nice productREAD MORE,1
"Apparently, I'm running out of words to describe it so I've given rating. At first blush, I got fascinated with the backlit keyboard ✨ that was so enchanting and then arrives the touch experience of the trackpad of the laptop, it was smooth as silk. Overall it's a worthy product at such an affordable price & a non-regrettable purchase in today's life. ❤🤘READ MORE",1
"I am using this from last 1 month and this is great experience , it fullfill my all expectations , i am not a heavy user but is best for simple workREAD MORE",1
Reviewing after 10days of usage. Keyboard is backlit and fingerprint sensor is lightning fast to log u in. Sound is decent. Came with Windows 10 Home. Charger is a compact one and u do not get anything else in box. I use it for online classes and college works.READ MORE,1
Good productPerformance was gud👍READ MORE,1
GoodREAD MORE,1
No problems yet.. i like its overall performance..value for money..READ MORE,1
Good productREAD MORE,1
Awesome product ❤️❤️READ MORE,1
Nice productREAD MORE,1
Just received the product today.  While start up and shut down it takes a very small time compared to old models. The boot up time is quick. The Performance of the Device is pretty good at price range of 38.5K.I am writing about helping people extend the warranty at INR 99 for additional 1 year and INR 999 for additional 2 years.Instead of buying warranty from flipkart or ASUS app in the Laptop buy it from ASUSPROMO.IN. Some people have written about small laptop. But they should be ens...READ MORE,1
Perfect Laptopvalue for moneyREAD MORE,1
AmazingREAD MORE,1
Value for money Laptop for Average students Use battery quite average but upto mark about 4-4.30 hoursmall edges on display Looks really good 512SD totally worth with this price rangeREAD MORE,1
Awesome laptop for students use.READ MORE,1
"Overall good under 40,000kREAD MORE",1
At 40k this is a good buy. As all competitors are not that great looking and portable friendly ( obviously no comparison to macbooks)  though with similar specs. It has a good amalgamation of hardware and software.. the display is good but not that vibrant and the webcam needs improvement as with all others out there.. rest assured and enjoy the beauty in the beast.READ MORE,1
Display looks amazing and compact size laptopREAD MORE,1
smooth performance.READ MORE,1
"After 8 days, not switching on. Don't buy this product.READ MORE",0
It is really a good lappy. Such a slim and sexy look it has . I really love itREAD MORE,1
OkREAD MORE,1
Works like a charm. Looking forward for years ro to come.READ MORE,1
SatisfiedREAD MORE,1
Good as expectedREAD MORE,1
Best performance🤑🤑READ MORE,1
Good EnoughREAD MORE,1
Product is so good 🧏READ MORE,1
"Superfast laptop, but screen was small but ok, light wt.READ MORE",1
AwesomeREAD MORE,1
"Dear all,My point of view1.Performence-52.bettery-33.display-5*Need Improvement on SSD Partion, it have a single partition which not need. actual need at list two partion.READ MORE",1
Over all a good productREAD MORE,1
NiceREAD MORE,1
It's good product at this price range . Very slim and size is like a4 page .READ MORE,1
GoodREAD MORE,1
The best laptop under this price range.READ MORE,1
"One of the best laptop I have, work smoothly and efficiently.READ MORE",1
